start_block,source_lat,source_long,end_block,dest_lat,dest_long,distance,time
325052,37.80538171,-122.4161215,325032,37.80579612,-122.4127962,296,47
325052,37.80538171,-122.4161215,325041,37.8054486,-122.4143769,153,24
325052,37.80538171,-122.4161215,325042,37.80560853,-122.4142738,164,26
325052,37.80538171,-122.4161215,325052,37.80538171,-122.4161215,0,0
325052,37.80538171,-122.4161215,326022,37.80764233,-122.4131553,507,138
325052,37.80538171,-122.4161215,326032,37.8074316,-122.4147983,360,120
325052,37.80538171,-122.4161215,326042,37.80722541,-122.4164831,359,117
325052,37.80538171,-122.4161215,326052,37.8070172,-122.41811,425,118
325052,37.80538171,-122.4161215,326061,37.80664454,-122.4201217,423,109
325052,37.80538171,-122.4161215,326062,37.80684068,-122.4194976,379,105
325052,37.80538171,-122.4161215,326071,37.8064826,-122.4213478,532,143
325052,37.80538171,-122.4161215,326072,37.80659877,-122.4215404,547,146
325052,37.80538171,-122.4161215,326081,37.80627288,-122.4229969,680,186
325052,37.80538171,-122.4161215,326082,37.80639308,-122.4230547,680,186
325052,37.80538171,-122.4161215,363121,37.80554717,-122.4179204,170,43
325052,37.80538171,-122.4161215,363122,37.80575588,-122.4179054,184,46
325052,37.80538171,-122.4161215,363131,37.80635184,-122.4191068,308,78
325052,37.80538171,-122.4161215,363132,37.80660028,-122.4191531,329,83
325052,37.80538171,-122.4161215,472281,37.8071555,-122.4207383,517,140
325052,37.80538171,-122.4161215,502262,37.80570811,-122.4169221,124,48
325052,37.80538171,-122.4161215,502271,37.80661034,-122.417237,227,86
325052,37.80538171,-122.4161215,502282,37.80742708,-122.4172631,317,120
325052,37.80538171,-122.4161215,542301,37.80598019,-122.4221721,669,154
325052,37.80538171,-122.4161215,542302,37.8060169,-122.4220439,673,155
325052,37.80538171,-122.4161215,546271,37.8060858,-122.4188171,520,157
325052,37.80538171,-122.4161215,546272,37.80659525,-122.418788,318,85
325052,37.80538171,-122.4161215,546273,37.80663197,-122.4189288,324,86
325052,37.80538171,-122.4161215,546281,37.80733253,-122.4190696,403,114
325052,37.80538171,-122.4161215,546282,37.80707856,-122.4188845,373,105
325052,37.80538171,-122.4161215,562231,37.80542547,-122.4136431,245,47
325052,37.80538171,-122.4161215,562241,37.80607272,-122.4137558,271,54
325052,37.80538171,-122.4161215,562242,37.80603903,-122.413613,265,53
325052,37.80538171,-122.4161215,562252,37.80702625,-122.4138161,376,95
325052,37.80538171,-122.4161215,562261,37.80786914,-122.4141194,473,148
325052,37.80538171,-122.4161215,562262,37.8079652,-122.4140042,482,151
325052,37.80538171,-122.4161215,585012,37.80714896,-122.4095605,702,142
325052,37.80538171,-122.4161215,585022,37.80694126,-122.4112306,556,120
325052,37.80538171,-122.4161215,585031,37.80660179,-122.4128641,409,97
325052,37.80538171,-122.4161215,585032,37.80672601,-122.4129652,403,96
325052,37.80538171,-122.4161215,585041,37.80638202,-122.4145962,256,84
